1	0	5010
2	5010	8051
3	13061	4646
4	17707	3499
5	21206	3936
6	25142	5047
7	30189	2250
8	32439	1888
9	34327	2504
10	36831	4305
11	41136	3299
12	44435	3171
13	47606	4250
14	51856	2810
15	54666	8385
16	63051	210
17	63261	215
18	63476	207
19	63683	220
20	63903	234
21	64137	232
22	64369	212
23	64581	234
24	64815	220
25	65035	226
26	65261	4139
27	69400	2284
28	71684	2731
29	74415	4190
30	78605	8819
31	87424	5430
32	92854	246
33	93100	3287
34	96387	8602
35	104989	2749
36	107738	2401
37	110139	4312
38	114451	1990
39	116441	2687
40	119128	2118
41	121246	1420
42	122666	6600
43	129266	3277
44	132543	21047
45	153590	4877
46	158467	1611
47	160078	7387
48	167465	304
49	167769	36390
50	204159	6015
51	210174	4575
52	214749	5066
53	219815	2889
54	222704	1981
55	224685	10469
56	235154	2322
57	237476	4613
58	242089	7471
59	249560	5646
60	255206	6346
61	261552	5647
62	267199	7719
63	274918	10135
64	285053	11129
65	296182	13457
66	309639	252
67	309891	252
68	310143	282
69	310425	241
70	310666	306
71	310972	234
72	311206	243
73	311449	225
74	311674	232
75	311906	246
76	312152	258
77	312410	219
78	312629	219
79	312848	276
80	313124	240
81	313364	202
82	313566	240
83	313806	237
84	314043	267
85	314310	270
86	314580	11146
87	325726	12665
88	338391	1200
89	339591	5647
90	345238	4150
91	349388	5181
92	354569	18816
93	373385	5520
94	378905	5421
95	384326	17797
96	402123	16356
97	418479	5334
98	423813	2310
99	426123	4283
100	430406	8604
101	439010	12567
102	451577	3007
103	454584	9141
104	463725	4458
105	468183	12617
106	480800	10190
107	490990	5420
108	496410	1959
109	498369	6974
110	505343	6441
111	511784	3945
112	515729	7844
113	523573	14085
114	537658	4552
115	542210	5640
116	547850	2125
117	549975	4168
118	554143	3897
119	558040	2859
120	560899	3130
121	564029	9388
122	573417	4569
123	577986	2885
124	580871	2381
125	583252	9637
126	592889	4701
127	597590	6062
128	603652	7133
129	610785	5267
130	616052	3594
131	619646	3731
132	623377	17363
133	640740	2397
134	643137	4428
135	647565	5855
136	653420	2495
137	655915	6475
138	662390	3576
139	665966	4918
140	670884	16104
141	686988	2573
142	689561	3205
143	692766	5185
144	697951	8957
145	706908	7047
146	713955	8783
147	722738	21618
148	744356	17851
149	762207	5381
150	767588	5083
151	772671	3956
152	776627	7029
153	783656	5860
154	789516	2695
155	792211	5040
156	797251	10050
157	807301	4490
158	811791	4634
159	816425	8057
160	824482	5598
161	830080	2398
162	832478	4461
163	836939	8179
164	845118	3923
165	849041	11533
166	860574	8880
167	869454	3941
168	873395	1901
169	875296	3984
170	879280	4396
171	883676	3485
172	887161	5497
173	892658	15794
174	908452	31767
175	940219	11796
176	952015	2816
177	954831	3535
178	958366	2194
179	960560	4108
180	964668	3571
181	968239	2482
182	970721	9570
183	980291	2622
184	982913	2927
185	985840	4144
186	989984	3559
187	993543	2897
188	996440	13620
189	1010060	3387
190	1013447	978
191	1014425	3023
192	1017448	4320
193	1021768	3243
194	1025011	9880
195	1034891	7694
196	1042585	4811
197	1047396	8197
198	1055593	10039
199	1065632	1304
200	1066936	7511
201	1074447	16477
202	1090924	6771
203	1097695	8756
204	1106451	5359
205	1111810	2689
206	1114499	1433
207	1115932	3831
208	1119763	3722
209	1123485	1500
210	1124985	9737
211	1134722	12153
212	1146875	8348
213	1155223	3526
214	1158749	4873
215	1163622	2091
216	1165713	2836
217	1168549	3184
218	1171733	24379
219	1196112	2013
220	1198125	2947
221	1201072	1153
222	1202225	2170
223	1204395	17666
224	1222061	14928
225	1236989	3836
226	1240825	5956
227	1246781	8268
228	1255049	26669
229	1281718	12008
230	1293726	15362
231	1309088	40215
232	1349303	32908
233	1382211	4951
234	1387162	15289
235	1402451	23279
236	1425730	11129
237	1436859	3373
238	1440232	7828
239	1448060	5370
240	1453430	11547
241	1464977	5221
242	1470198	16196
243	1486394	8039
244	1494433	11435
245	1505868	19992
246	1525860	9239
247	1535099	18433
248	1553532	2258
249	1555790	13022
250	1568812	10751
251	1579563	6981
252	1586544	24114
253	1610658	24087
254	1634745	7381
255	1642126	12595
256	1654721	4463
257	1659184	11832
258	1671016	13905
259	1684921	3584
260	1688505	1707
261	1690212	610
262	1690822	13925
263	1704747	13450
264	1718197	7538
265	1725735	29570
266	1755305	821
267	1756126	1409
268	1757535	829
269	1758364	1484
270	1759848	817
271	1760665	830
272	1761495	1425
273	1762920	1433
274	1764353	1537
275	1765890	1548
276	1767438	874
277	1768312	1492
278	1769804	877
279	1770681	1500
280	1772181	1403
281	1773584	865
282	1774449	1428
283	1775877	866
284	1776743	871
285	1777614	1513
286	1779127	1511
287	1780638	1472
288	1782110	815
289	1782925	834
290	1783759	1430
291	1785189	866
292	1786055	1426
293	1787481	1408
294	1788889	1442
295	1790331	1424
296	1791755	1416
297	1793171	817
298	1793988	1477
299	1795465	1486
300	1796951	1360
301	1798311	1455
302	1799766	1501
303	1801267	818
304	1802085	1465
305	1803550	1687
306	1805237	1415
307	1806652	1473
308	1808125	1443
309	1809568	1431
310	1810999	1371
311	1812370	1378
312	1813748	882
313	1814630	1516
314	1816146	831
315	1816977	824
316	1817801	850
317	1818651	813
318	1819464	1535
319	1820999	823
320	1821822	824
321	1822646	1557
322	1824203	812
323	1825015	1464
324	1826479	1453
325	1827932	829
326	1828761	4463
327	1833224	11832
328	1845056	13905
329	1858961	3584
330	1862545	1707
331	1864252	610
332	1864862	13925
333	1878787	13450
334	1892237	7538
335	1899775	29570
336	1929345	2069
337	1931414	896
338	1932310	2429
339	1934739	1847
340	1936586	2741
341	1939327	3317
342	1942644	2008
